ID,Warehouse_block,Mode_of_Shipment,Customer_id,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
2238,5,Ship,T55831667,3,4,139,2,low,M,45,1192,1
2239,4,Ship,G31866474,2,5,236,3,medium,F,13,2171,1
2240,5,Ship,V42054299,3,4,155,2,low,F,37,1780,1
2241,1,Ship,B53532250,3,3,168,3,medium,M,11,1008,1
2242,2,Ship,C29635299,4,1,151,2,low,M,42,1367,1
2243,3,Ship,N24709995,3,4,113,4,low,F,56,1154,1
2244,5,Ship,X11820115,4,3,133,3,medium,F,50,1861,1
2245,4,Ship,K15330631,5,4,163,4,medium,M,57,1613,1
2246,5,Ship,L40975699,5,3,206,2,medium,F,59,3278,1
2247,1,Ship,E58934426,3,2,177,2,medium,F,23,1929,1
2248,2,Ship,D24501384,3,2,206,2,low,M,3,2261,1
2249,3,Ship,P59071824,5,1,189,3,medium,M,13,3492,1
2250,5,Ship,O46900723,3,4,270,2,low,M,39,3690,1
2251,4,Ship,C49678568,4,1,238,3,low,F,33,2013,1
2252,5,Ship,S22673348,5,1,143,2,low,M,46,1387,1
2253,1,Ship,I40903742,4,1,173,2,medium,M,53,1251,1
2254,2,Ship,M16700895,3,5,134,3,medium,M,38,1169,1
2255,3,Ship,B40761795,4,4,176,3,high,M,34,1283,1
2256,5,Ship,D14435258,4,3,160,2,medium,F,38,1961,1
2257,4,Ship,Q43822925,3,4,230,3,high,F,22,3546,1
2258,5,Ship,S33828457,4,5,178,3,low,F,5,1012,1
2259,1,Ship,E32329260,3,2,256,4,low,F,18,2699,1
2260,2,Ship,W59010114,3,4,256,4,low,M,11,3030,1
2261,3,Ship,E55936682,3,2,208,4,medium,M,52,2900,1
2262,5,Ship,L25107248,4,3,119,3,low,F,40,1233,1
2263,4,Ship,A55728833,3,3,114,6,low,F,26,1825,1
2264,5,Ship,X15707822,3,5,225,3,low,F,1,2864,1
2265,1,Ship,D44753981,4,5,155,4,high,F,48,1972,1
2266,2,Ship,F17605220,4,4,223,3,medium,F,51,3895,1
2267,3,Ship,E39202279,5,3,194,3,medium,F,6,2736,1
2268,5,Ship,R23233270,5,4,281,4,medium,F,40,3381,1
2269,4,Ship,W11369442,4,1,132,4,medium,F,10,1343,1
2270,5,Ship,P36393839,4,1,229,3,medium,F,53,3423,1
2271,1,Ship,Y29166347,4,2,251,3,low,F,10,3517,1
2272,2,Ship,T40929325,4,1,113,3,low,F,60,1200,1
2273,3,Ship,G14797704,5,5,234,6,low,F,52,2615,1
2274,5,Ship,V43152187,3,3,181,2,medium,M,58,3719,1
2275,4,Ship,B20100153,5,2,157,2,low,M,32,1497,1
2276,5,Ship,C53796589,3,1,155,3,low,M,49,1203,1
2277,1,Ship,N12607254,3,4,209,2,low,M,62,2935,1
2278,2,Ship,X24777714,4,3,264,3,low,F,39,2213,1
2279,3,Ship,K52249957,3,1,268,3,low,F,47,2479,1
2280,5,Ship,L33174399,6,1,224,3,medium,M,64,2705,1
2281,4,Ship,E44299896,4,4,223,10,low,M,24,3271,1
2282,5,Ship,D47966884,3,2,191,3,high,F,42,2374,1
2283,1,Ship,P10364639,4,1,184,3,high,F,47,3081,1
2284,2,Ship,O15675075,6,5,174,3,medium,F,32,1921,1
2285,3,Ship,C10246517,6,3,134,8,high,F,12,1371,1
2286,5,Ship,S31253480,4,1,135,2,high,F,25,1009,1
2287,4,Ship,I44858388,5,4,234,2,high,F,61,3084,1
2288,5,Ship,M13105585,3,1,215,6,high,M,5,3432,1
2289,1,Ship,B30727348,5,4,187,2,medium,F,10,3549,1
2290,2,Ship,D19506461,3,1,238,2,medium,F,50,3438,1
2291,3,Ship,Q56726022,4,2,273,4,low,F,26,3223,1
2292,5,Ship,S31004972,5,4,192,3,medium,M,46,3709,1
2293,4,Ship,E40866581,3,5,268,4,high,M,5,3446,1
2294,5,Ship,W19330277,3,5,225,3,low,F,12,2721,1
2295,1,Ship,E51057120,4,5,155,4,high,F,54,1408,1
2296,2,Ship,L21921781,4,2,223,3,medium,F,56,3158,1
2297,3,Ship,A28641511,5,1,194,3,medium,F,32,3003,1
2298,5,Ship,X27216300,5,4,281,4,medium,M,56,3709,1
2299,4,Ship,D46271995,4,5,132,4,medium,F,28,1715,1
2300,5,Ship,F51324000,4,1,229,3,medium,F,20,2891,1
2301,1,Ship,E14040597,4,1,251,3,low,F,33,2502,1
2302,2,Ship,R10066497,4,5,113,3,low,F,52,1741,1
2303,3,Road,W55068763,5,2,234,6,low,F,58,2448,1
2304,5,Road,P37508139,3,3,181,2,medium,F,52,3236,1
2305,4,Road,Y53307923,5,2,157,2,low,M,58,1654,1
2306,5,Road,T19628926,3,3,155,3,low,M,20,1830,1
2307,1,Road,G57513891,3,5,209,2,low,M,33,2603,1
2308,2,Road,V30055860,4,1,264,3,low,M,13,3015,1
2309,3,Road,B32365527,3,2,268,3,low,M,30,2867,1
2310,5,Road,C42960016,6,2,224,3,medium,F,26,3247,1
2311,4,Road,N54186809,4,3,223,10,low,F,21,2943,1
2312,5,Road,X34643407,3,5,191,3,high,F,17,2235,1
2313,1,Road,K56770524,4,4,184,3,high,F,27,3967,1
2314,2,Road,L15328131,6,4,174,3,medium,F,14,1651,1
2315,3,Road,E43641742,6,2,134,8,high,M,42,1054,1
2316,5,Road,D48175306,4,5,135,2,high,F,22,1195,1
2317,4,Road,P15862127,5,5,234,2,high,M,50,3914,1
2318,5,Road,O58462305,3,1,215,6,high,M,42,3715,1
2319,1,Road,C11405054,5,2,187,2,medium,F,29,2863,1
2320,2,Road,S27596508,3,2,238,2,medium,F,32,3274,1
2321,3,Road,I31726218,4,1,273,4,low,F,54,2611,1
2322,5,Road,M45381996,5,5,192,3,medium,F,37,2197,1
2323,4,Road,B25423273,3,5,268,4,high,M,19,2893,1
2324,5,Road,D16414522,3,4,164,3,low,M,5,1408,1
2325,1,Flight,Q53510460,2,2,255,3,low,M,59,1514,1
2326,2,Flight,S42503097,4,4,141,2,low,F,30,1130,1
2327,3,Flight,E33833504,2,5,202,3,low,M,50,2587,1
2328,5,Flight,W11024178,4,4,282,6,medium,F,52,3009,1
2329,4,Flight,E49071265,6,4,190,3,low,M,7,3175,1
2330,5,Flight,L26663922,4,2,192,4,low,F,61,2256,1
2331,1,Flight,A28651292,3,4,179,2,low,M,51,1041,1
2332,2,Flight,X55193329,4,3,238,2,medium,M,43,2200,1
2333,3,Flight,D36011369,3,2,181,4,low,F,18,3696,1
2334,5,Flight,F23765966,5,2,128,5,medium,F,45,1707,1
2335,4,Flight,E18457693,5,1,285,5,low,M,51,2063,1
2336,5,Flight,R58557163,5,5,273,3,medium,F,18,2415,1
2337,1,Flight,W19818337,2,2,242,6,low,F,63,3144,1
2338,2,Flight,P35950636,3,4,226,3,medium,F,22,3593,1
2339,3,Flight,Y47095128,2,5,255,4,low,F,36,2093,1
2340,5,Flight,T42511800,5,1,198,2,medium,F,37,3025,1
2341,4,Flight,G49768806,5,4,263,3,medium,M,59,3978,1
2342,5,Flight,V40571438,3,5,186,2,low,F,39,2197,1
2343,1,Flight,B48089725,5,2,260,3,low,F,22,2935,1
2344,2,Flight,C12824743,4,2,167,2,low,F,5,1169,1
2345,3,Flight,N31741798,4,3,210,3,low,F,46,2344,1
2346,5,Flight,X36489321,4,5,216,3,low,F,20,3549,1
2347,4,Ship,K14501623,3,2,273,3,low,F,12,2154,1
2348,5,Ship,L30593944,5,1,153,2,low,F,55,1414,1
2349,1,Ship,E52574415,3,2,183,3,medium,F,44,3809,1
2350,2,Ship,D12017606,4,1,224,3,medium,F,36,3499,1
2351,3,Ship,P59905426,5,1,170,3,high,M,58,1651,1
2352,5,Ship,O53705333,5,1,237,4,low,M,33,2605,1
2353,4,Ship,C14172257,5,5,234,6,medium,F,60,2443,1
2354,5,Ship,S25492809,3,2,264,3,medium,F,43,3439,1
2355,1,Ship,I10493285,2,2,153,3,low,F,55,1273,1
2356,2,Ship,M15360697,4,3,228,4,low,M,61,3583,1
2357,3,Ship,B24984991,3,5,264,2,medium,M,33,2021,1
2358,5,Ship,D35253841,4,3,267,3,low,F,42,2332,1
2359,4,Ship,Q53334190,3,2,213,2,low,M,22,3248,1
2360,5,Ship,S56131181,4,1,181,3,medium,M,38,3258,1
2361,1,Ship,E14725628,6,4,209,5,low,F,53,3169,1
2362,2,Ship,W50674251,3,2,165,3,low,F,19,1111,1
2363,3,Ship,E32148498,3,4,164,3,high,F,55,1293,1
2364,5,Ship,L34196811,5,5,141,2,medium,M,14,1114,1
2365,4,Ship,A11444817,3,2,164,4,medium,M,2,1701,1
2366,5,Ship,X55654647,3,3,178,2,medium,M,4,1778,1
2367,1,Ship,D18536716,5,4,200,3,medium,M,24,2078,1
2368,2,Ship,F28451067,4,5,185,2,low,F,47,3974,1
2369,3,Ship,E17810254,2,1,180,2,medium,F,31,1078,1
2370,5,Ship,R30816695,4,5,144,3,low,M,9,1526,1
2371,4,Ship,W15691001,4,4,161,4,low,F,14,1194,1
2372,5,Ship,P19557159,4,5,152,3,medium,M,25,1222,1
2373,1,Ship,Y23480152,2,3,129,3,low,M,50,1111,1
2374,2,Ship,T27125253,5,2,140,3,medium,F,16,1969,1
2375,3,Ship,G56087193,4,1,270,4,medium,F,64,3312,1
2376,5,Ship,V33451105,3,2,183,3,medium,F,25,2023,1
2377,4,Ship,B10093040,4,1,264,3,low,F,39,3719,1
2378,5,Ship,C25284442,3,2,167,4,medium,M,49,1973,1
2379,1,Ship,N55474608,5,1,219,3,low,M,14,2447,1
2380,2,Ship,X37061013,4,2,225,3,low,M,52,3189,1
2381,3,Ship,K48227600,4,1,228,3,low,F,53,2021,1
2382,5,Ship,L56092021,3,5,119,3,medium,M,7,1021,1
2383,4,Ship,E21164062,3,5,244,3,low,F,8,3154,1
2384,5,Ship,D54613894,4,3,163,5,low,M,29,1349,1
2385,1,Ship,P37350438,4,5,260,3,medium,M,59,3951,1
2386,2,Ship,O41017327,4,3,135,2,medium,F,53,1073,1
2387,3,Ship,C56454999,5,2,167,3,medium,F,7,1939,1
2388,5,Ship,S35557913,4,4,233,3,medium,F,14,2522,1
2389,4,Ship,I42573662,4,5,147,2,medium,F,19,1940,1
2390,5,Ship,M55427677,2,4,159,2,low,F,17,1686,1
2391,1,Ship,B37605716,4,2,139,3,medium,M,5,1674,1
2392,2,Ship,D49355184,3,1,200,2,low,F,44,2651,1
2393,3,Ship,Q59456558,4,1,221,3,low,F,3,2546,1
2394,5,Ship,S53244959,4,3,158,3,low,M,18,1036,1
2395,4,Ship,E28658736,4,5,227,3,low,M,65,3984,1
2396,5,Ship,W28552957,3,3,179,3,medium,F,12,1125,1
2397,1,Ship,E46751402,3,2,232,3,low,F,64,3131,1
2398,2,Ship,L16282830,3,3,139,2,low,M,9,1177,1
2399,3,Ship,A34240020,6,3,195,2,medium,M,21,3869,1
2400,5,Ship,X10288351,6,2,276,6,medium,M,7,2437,1
2401,4,Ship,D37927756,2,5,171,3,medium,F,13,1101,1
2402,5,Ship,F24660482,5,4,259,3,medium,F,43,2685,1
2403,1,Ship,E57684204,3,2,123,4,medium,F,7,1596,1
2404,2,Ship,R36427039,3,2,199,4,low,F,47,2208,1
2405,3,Ship,W23619784,4,3,226,2,low,F,32,2912,1
2406,5,Ship,P11517389,4,2,149,3,medium,F,54,1506,1
2407,4,Ship,Y29441430,3,5,115,3,medium,M,60,1122,1
2408,5,Ship,T40875429,3,2,243,2,medium,M,26,2719,1
2409,1,Ship,G28786905,2,4,136,6,medium,M,58,1479,1
2410,2,Ship,V52348368,3,2,180,2,low,F,6,1811,1
2411,3,Ship,B45239744,4,1,274,4,medium,M,57,3332,1
2412,5,Ship,C41575047,6,5,233,6,medium,M,48,3341,1
2413,4,Ship,N51658021,3,2,254,2,medium,F,2,3239,1
2414,5,Ship,X39366015,4,5,153,3,high,F,3,1347,1
2415,1,Ship,K39789291,6,3,175,5,medium,F,64,1860,1
2416,2,Ship,L14950718,5,2,207,2,low,F,35,2184,1
2417,3,Ship,E48584583,3,1,153,2,low,F,6,1314,1
2418,5,Ship,D19852448,3,4,228,2,medium,M,65,3943,1
2419,4,Ship,P35183779,5,2,96,2,low,F,50,1186,1
2420,5,Ship,O40010919,4,4,241,3,high,M,39,3798,1
2421,1,Ship,C49248990,5,2,249,5,high,F,28,2846,1
2422,2,Ship,S52177857,3,3,188,5,low,M,25,3992,1
2423,3,Ship,I47394284,3,2,154,2,high,F,4,1009,1
2424,5,Ship,M36230413,4,4,226,2,high,M,53,3154,1
2425,4,Ship,B19004109,5,3,250,2,low,F,14,2064,1
2426,5,Ship,D50762447,3,1,150,2,medium,F,46,1431,1
2427,1,Ship,Q32735268,3,5,267,2,low,F,16,2913,1
2428,2,Ship,S49243257,4,3,223,3,low,M,35,2715,1
2429,3,Ship,E57555857,4,5,192,3,medium,F,41,3873,1
2430,5,Ship,W23007489,3,2,143,3,low,F,58,1785,1
2431,4,Ship,E36441700,3,5,113,2,low,F,19,1660,1
2432,5,Ship,L48341910,4,1,135,3,medium,M,39,1549,1
2433,1,Ship,A45436857,4,4,189,4,high,F,56,2646,1
2434,2,Ship,X28907182,3,2,245,3,medium,M,13,3775,1
2435,3,Ship,D17541355,3,5,181,2,low,M,29,2217,1
2436,5,Ship,F55636507,3,2,207,2,medium,F,37,2460,1
2437,4,Ship,E44073991,3,1,169,2,medium,F,19,1183,1
2438,5,Ship,R53078527,4,5,206,3,low,F,65,2598,1
2439,1,Ship,W33512105,2,5,117,3,low,M,44,1192,1
2440,2,Road,P30739123,2,1,115,3,high,M,42,1247,1
2441,3,Road,Y29197389,3,3,149,3,low,F,63,1196,1
2442,5,Road,T12056516,4,5,133,3,medium,M,3,1403,1
2443,4,Road,G28781294,4,3,271,2,medium,M,22,2595,1
2444,5,Road,V30186567,2,5,116,3,low,F,3,1688,1
2445,1,Road,B41606680,3,5,139,2,medium,M,64,1857,1
2446,2,Road,C53593539,4,3,216,3,medium,M,35,2567,1
2447,3,Road,N12645037,3,5,165,2,high,F,37,1234,1
2448,5,Road,X45234255,6,5,286,4,low,F,31,3774,1
2449,4,Road,K41227460,5,3,136,3,medium,F,13,1446,1
2450,5,Road,L27497938,4,5,225,4,low,M,48,2767,1
2451,1,Road,E18879054,4,2,163,3,low,F,27,1639,1
2452,2,Road,D15906337,4,3,272,4,low,M,61,2857,1
2453,3,Road,P25313157,4,3,135,2,high,M,24,1292,1
2454,5,Road,O33448287,4,5,184,3,low,F,64,3812,1
2455,4,Road,C23878555,4,5,219,2,medium,F,28,2164,1
2456,5,Road,S55099100,3,3,249,2,medium,M,53,2323,1
2457,1,Road,I20046405,2,3,142,3,low,F,46,1694,1
2458,2,Road,M44693814,5,2,137,3,medium,M,47,1023,1
2459,3,Road,B43976510,2,5,168,3,low,M,37,1717,1
2460,5,Road,D14710172,5,5,165,3,medium,F,32,1798,1
2461,4,Road,Q18873918,3,3,199,2,low,M,4,3553,1
2462,5,Flight,S48354722,3,3,246,3,low,M,27,3648,1
2463,1,Flight,E50194162,5,2,224,4,medium,M,43,2336,1
2464,2,Flight,W27782975,5,5,216,6,low,M,54,2075,1
2465,3,Flight,E26690445,5,3,167,2,low,M,3,1140,1
2466,5,Flight,L59533244,4,2,182,3,medium,M,14,3413,1
2467,4,Flight,A21697282,6,1,126,3,medium,F,37,1697,1
2468,5,Flight,X27069748,5,1,170,3,medium,F,48,1299,1
2469,1,Flight,D51414008,4,2,148,3,medium,M,2,1805,1
2470,2,Flight,F18236528,4,2,141,3,medium,M,61,1875,1
2471,3,Flight,E21997211,5,5,169,2,medium,F,14,1497,1
2472,5,Flight,R42800353,5,2,143,3,medium,M,12,1802,1
2473,4,Flight,W19846090,4,5,156,3,low,F,60,1553,1
2474,5,Flight,P51904679,5,1,241,4,medium,F,19,2193,1
2475,1,Flight,Y55945421,3,4,212,3,medium,F,13,2307,1
2476,2,Flight,T18763344,5,3,265,3,medium,M,30,2293,1
2477,3,Flight,G43764537,3,4,243,3,low,F,60,2980,1
2478,5,Flight,V29477721,5,2,209,4,medium,M,15,3330,1
2479,4,Flight,B15593356,4,5,229,3,medium,M,21,2688,1
2480,5,Flight,C50033164,3,1,257,2,low,F,45,3496,1
2481,1,Flight,N45492955,5,5,209,3,low,M,49,3893,1
2482,2,Flight,X34721764,3,3,142,3,medium,M,23,1897,1
2483,3,Flight,K11651191,3,5,208,4,medium,M,12,3181,1
2484,5,Ship,L13717069,6,3,167,6,low,F,15,1278,1
2485,4,Ship,E45333090,3,5,266,3,medium,M,16,2334,1
2486,5,Ship,D44553615,5,3,210,2,medium,M,44,3382,1
2487,1,Ship,P33903739,2,2,147,2,medium,F,49,1447,1
2488,2,Ship,O12762484,5,2,132,2,medium,M,8,1665,1
2489,3,Ship,C34207908,3,4,269,3,medium,F,21,3716,1
2490,5,Ship,S23684911,5,3,148,3,medium,F,48,1099,1
2491,4,Ship,I11335867,4,5,268,2,high,M,32,3675,1
2492,5,Ship,M33240434,3,5,156,2,low,F,43,1301,1
2493,1,Ship,B53959258,5,1,222,4,low,M,63,3506,1
2494,2,Ship,D22831411,4,5,151,3,high,F,31,1365,1
2495,3,Ship,Q37973431,3,3,236,3,low,F,28,3652,1
2496,5,Ship,S43653213,3,5,229,3,medium,F,12,3049,1
2497,4,Ship,E25715441,4,3,261,3,low,M,42,2664,1
2498,5,Ship,W31079429,2,1,229,4,low,M,6,3757,1
2499,1,Ship,E20613353,4,5,205,3,low,F,60,2317,1
2500,2,Ship,L42804426,3,4,240,2,low,M,8,3883,1
2501,3,Ship,A34228118,4,3,209,6,low,F,59,2622,1
2502,5,Ship,X15706613,2,1,252,2,low,M,35,2526,1
2503,4,Ship,D51822304,,4,140,2,medium,M,48,1102,1
2504,5,Ship,F46045285,5,4,156,2,low,F,57,1842,1
2505,1,Ship,E16872742,2,2,190,8,medium,M,33,3448,1
2506,2,Ship,R36930401,3,4,138,6,medium,M,5,1853,1
2507,3,Ship,W39774896,5,4,243,3,low,F,35,2899,1
2508,5,Ship,P40736426,3,1,183,2,low,M,58,3027,1
2509,4,Ship,Y39428058,3,5,190,10,medium,M,26,3244,1
2510,5,Ship,T45917120,5,1,235,2,low,M,27,2451,1
2511,1,Ship,G57954004,3,2,143,6,medium,M,63,1953,1
2512,2,Ship,V24780932,3,1,176,2,medium,F,45,1470,1
2513,3,Ship,B33228148,3,5,178,3,low,F,39,1498,1
2514,5,Ship,C18146936,3,2,270,2,medium,F,59,3706,1
2515,4,Ship,N18028099,4,4,141,2,low,M,7,1479,1
2516,5,Ship,X13384927,4,3,220,3,medium,M,8,3342,1
2517,1,Ship,K46601800,5,5,264,3,medium,F,56,3482,1
2518,2,Ship,L28951778,3,5,150,2,low,F,48,1256,1
2519,3,Ship,E31098812,3,4,175,3,medium,M,4,1519,1
2520,5,Ship,D54394419,2,4,223,3,medium,F,19,3356,1
2521,4,Ship,P29049357,4,4,162,10,high,M,12,1583,1
2522,5,Ship,O29907542,6,4,221,10,medium,M,42,2972,1
2523,1,Ship,C19960184,5,1,216,3,low,M,40,2668,1
2524,2,Ship,S51624159,5,5,133,10,medium,M,9,1724,1
2525,3,Ship,I46878104,4,2,191,3,high,M,3,2353,1
2526,5,Ship,M20286416,4,5,156,3,low,M,39,1483,1
2527,4,Ship,B22214576,4,1,252,3,medium,F,30,2669,1
2528,5,Ship,D55475460,3,5,198,3,low,M,2,3417,1
2529,1,Ship,Q15639972,2,3,139,8,medium,M,21,1033,1
2530,2,Ship,S37237980,2,1,255,3,low,M,19,1551,1
2531,3,Ship,E46357090,4,1,141,2,low,F,23,1689,1
2532,5,Ship,W47978388,4,1,151,3,high,F,39,1458,1
2533,4,Ship,E27061541,3,5,236,3,low,F,54,3976,1
2534,5,Ship,L56789536,3,4,229,3,medium,F,46,3223,1
2535,1,Ship,A34023453,4,3,261,3,low,F,6,2787,1
2536,2,Ship,X49480656,2,1,229,4,low,F,11,3614,1
2537,3,Ship,D12755272,4,4,205,3,low,F,58,2522,1
2538,5,Ship,F10819790,3,4,240,2,low,F,33,3489,1
2539,4,Ship,E46152334,4,4,209,6,low,M,62,3532,1
2540,5,Ship,R25817438,2,5,252,2,low,F,21,2070,1
2541,1,Ship,W12785351,3,3,140,2,medium,F,30,,1
2542,2,Ship,P35554712,5,3,156,2,low,M,1,1147,1
2543,3,Ship,Y43710982,2,5,190,8,medium,M,11,2976,1
2544,5,Ship,T19375501,3,3,138,6,medium,M,49,1078,1
2545,4,Ship,G20719558,5,4,243,3,low,F,43,2866,1
2546,5,Ship,V24340943,3,5,183,2,low,F,10,2621,1
2547,1,Ship,B14233969,3,5,190,10,medium,M,32,2931,1
2548,2,Ship,C16042174,5,2,235,2,low,F,61,3451,1
2549,3,Ship,N30799978,3,1,143,6,medium,M,2,1323,1
2550,5,Ship,X37848834,3,3,176,2,medium,M,34,1856,1
2551,4,Ship,K25524565,3,1,178,3,low,F,11,1481,1
2552,5,Ship,L13726742,3,5,270,2,medium,F,46,2716,1
2553,1,Ship,E10973129,4,1,141,2,low,M,10,1340,1
2554,2,Ship,D35645413,4,5,220,3,medium,F,63,3109,1
2555,3,Ship,P53838729,5,5,264,3,medium,F,23,2837,1
2556,5,Ship,O39699627,3,5,150,2,low,M,29,1934,1
2557,4,Ship,C59766869,3,3,175,3,medium,F,32,1848,1
2558,5,Ship,S17185210,2,5,223,3,medium,M,35,3437,1
2559,1,Ship,I40107631,4,3,162,10,high,M,25,1764,1
2560,2,Ship,M32685206,6,3,221,10,medium,F,13,2219,1
2561,3,Ship,B56269370,5,5,216,3,low,F,5,3137,1
2562,5,Ship,D54381033,5,2,133,10,medium,M,53,1674,1
2563,4,Ship,Q50884592,4,3,191,3,high,F,45,3714,1
2564,5,Ship,S26719476,4,5,156,3,low,F,33,1836,1
2565,1,Ship,E52190851,4,2,252,3,medium,F,43,3273,1
2566,2,Ship,W27630784,3,2,198,3,low,M,15,3250,1
2567,3,Ship,E48875161,2,4,139,8,medium,F,62,1180,1
2568,5,Ship,L22717323,2,4,255,3,low,F,55,1663,1
2569,4,Ship,A55530277,4,2,141,2,low,F,8,1495,1
2570,5,Ship,X16710433,5,2,263,2,medium,F,63,1254,1
2571,1,Ship,D34448530,3,3,179,3,medium,F,41,1892,1
2572,2,Ship,F51510191,4,5,212,4,low,M,21,1014,1
2573,3,Ship,E33276303,2,1,282,5,low,F,51,1362,1
2574,5,Ship,R51231090,3,5,165,3,medium,M,33,1500,1
2575,4,Ship,W41959296,4,1,189,2,medium,F,63,3474,1
2576,5,Ship,P12137617,5,5,157,4,medium,M,60,1407,1
2577,1,Road,Y11451057,3,4,167,3,low,M,14,1420,1
2578,2,Road,T52359210,3,1,175,2,low,M,42,1668,1
2579,3,Road,G57862552,3,4,150,2,medium,M,64,1777,1
2580,5,Road,V41670616,4,2,128,5,low,F,28,1247,1
2581,4,Road,B31331087,5,2,236,2,low,M,24,3679,1
2582,5,Road,C44042780,4,3,162,2,medium,F,58,1708,1
2583,1,Road,N51810224,5,4,230,2,medium,F,48,3743,1
2584,2,Road,X29543521,5,3,225,4,low,F,60,2130,1
2585,3,Road,K40460027,2,2,285,2,medium,F,16,2223,1
2586,5,Road,L19322613,4,5,246,2,medium,M,31,2415,1
2587,4,Road,E55368486,4,4,196,2,low,F,6,2718,1
2588,5,Road,D35136685,5,4,211,6,low,M,33,3955,1
2589,1,Road,P47096370,3,1,197,2,low,M,4,3621,1
2590,2,Road,O48453838,5,3,203,2,low,F,37,3531,1
2591,3,Road,C39660957,4,2,161,3,medium,F,10,1928,1
2592,5,Road,S48359148,5,5,266,4,medium,M,62,2201,1
2593,4,Road,I23488366,4,1,190,3,low,F,32,2774,1
2594,5,Road,M46579114,3,2,140,3,low,F,42,1465,1
2595,1,Road,B34129997,4,1,274,4,medium,M,61,3402,1
2596,2,Road,D45314205,4,2,168,3,low,M,59,1717,1
2597,3,Road,Q40809464,3,5,189,3,low,F,61,2203,1
2598,5,Road,S23979759,3,2,231,3,low,F,56,2714,1
2599,4,Flight,E57266634,5,1,189,3,medium,F,14,3318,1
2600,5,Flight,W54674445,4,1,220,2,medium,M,38,2368,1
2601,1,Flight,E55077278,5,4,190,2,medium,F,23,3960,1
2602,2,Flight,L13688022,4,2,238,3,low,M,30,3423,1
2603,3,Flight,A15725610,4,4,220,2,medium,F,33,2897,1
2604,5,Flight,X38850100,4,5,194,2,high,M,44,2651,1
2605,4,Flight,D36128082,3,3,203,3,medium,M,29,3261,1
2606,5,Flight,F24184909,3,5,258,3,low,M,21,3446,1
2607,1,Flight,E39259870,3,5,151,3,low,M,3,1273,1
2608,2,Flight,R58637294,3,2,218,3,medium,F,52,2149,1
2609,3,Flight,W59941246,5,1,265,3,medium,M,6,2452,1
2610,5,Flight,P32927149,4,1,157,3,medium,M,31,1712,1
2611,4,Flight,Y14849028,4,2,214,3,medium,F,20,2009,1
2612,5,Flight,T28110712,4,4,221,4,medium,M,14,2932,1
2613,1,Flight,G52785813,3,2,149,2,medium,M,37,1699,1
2614,2,Flight,V40245978,4,2,273,5,medium,F,6,2126,1
2615,3,Flight,B13247457,5,1,253,5,low,M,31,3836,1
2616,5,Flight,C37565534,3,5,102,6,medium,M,3,1341,1
2617,4,Flight,N12142320,4,1,258,2,low,F,56,3186,1
2618,5,Flight,X42629716,4,2,273,2,low,F,9,3383,1
2619,1,Flight,K44244808,4,2,187,2,low,M,54,2191,1
2620,2,Flight,L55448095,5,1,151,2,medium,F,30,1377,1
2621,3,Ship,E25046011,2,4,120,2,medium,M,13,1240,1
2622,5,Ship,D51118463,3,1,254,2,low,M,56,3463,1
2623,4,Ship,P46466754,5,3,149,3,medium,F,43,1005,1
2624,5,Ship,O11816209,4,1,152,3,high,M,26,1464,1
2625,1,Ship,C53808519,5,4,187,3,low,F,53,3172,1
2626,2,Ship,S10574951,4,4,170,2,low,M,34,1512,1
2627,3,Ship,I59670044,3,3,156,3,high,F,20,1305,1
2628,5,Ship,M44979063,4,5,228,2,low,M,63,3401,1
2629,4,Ship,B42668117,3,1,272,2,low,M,51,2719,1
2630,5,Ship,D39462394,3,1,140,2,low,F,6,1435,1
2631,1,Ship,Q57938492,3,5,185,2,medium,M,27,3624,1
2632,2,Ship,S36782782,5,3,167,3,low,F,5,1772,1
2633,3,Ship,E48686023,4,5,244,3,low,F,49,3914,1
2634,5,Ship,W17865154,3,4,229,6,medium,F,33,2815,1
2635,4,Ship,E24701143,4,1,273,3,medium,F,25,3717,1
2636,5,Ship,L10739082,4,3,204,3,low,M,30,3774,1
2637,1,Ship,A46180084,4,3,154,3,medium,M,10,1711,1
2638,2,Ship,X22266877,3,1,254,4,low,F,33,2542,1
2639,3,Ship,D36668057,3,2,151,3,low,M,40,1173,1
2640,5,Ship,F49650275,3,5,242,5,medium,F,61,3688,1
2641,4,Ship,E31927206,4,5,137,2,medium,F,14,1796,1
2642,5,Ship,R40287424,4,4,163,2,low,F,41,1634,1
2643,1,Ship,W21190406,3,3,143,3,medium,F,16,1343,1
2644,2,Ship,P49981896,4,4,196,3,low,F,11,3244,1
2645,3,Ship,Y15627274,4,3,264,2,low,F,38,3877,1
2646,5,Ship,T19250967,4,1,217,3,medium,M,2,2692,1
2647,4,Ship,G44105173,3,3,124,3,medium,M,59,1959,1
2648,5,Ship,V58496343,3,1,269,3,low,M,61,3542,1
2649,1,Ship,B32629020,3,1,135,4,medium,M,47,1840,1
2650,2,Ship,C23219845,2,1,192,3,high,M,46,3206,1
2651,3,Ship,N54059157,4,1,274,4,medium,F,42,2430,1
2652,5,Ship,X40539639,3,2,162,4,low,M,25,1316,1
2653,4,Ship,K25793231,3,3,158,3,low,F,20,1431,1
